estacion,provincia,region,oaci,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,latitud,longitud,altura,nro
base_marambio,ANTARTIDA,Antártida,SAWB,11.0000,7.4600,82.6600,6.2000,32.2200,-3.4000,-0.4000,-6.2000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,12.0000,6.7600,88.4000,6.3000,28.8000,-1.3000,1.3000,-3.7000,-64.2333,-56.6167,198.0000,89055.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,1.0000,4.6400,87.1000,7.5000,41.0000,1.3000,3.6000,-0.7000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,2.0000,4.6400,87.2000,7.4000,41.0000,1.4000,3.4000,-0.4000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,3.0000,4.5000,88.0000,7.2000,42.5400,0.3000,2.4000,-1.6000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,4.0000,5.3000,87.8000,7.2000,38.2000,-1.8000,0.4000,-4.1000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,5.0000,5.2000,87.8000,6.8000,38.2800,-5.0000,-2.0000,-8.1000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,6.0000,6.1400,87.8000,6.6000,32.7800,-7.5000,-3.9000,-11.3000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,7.0000,6.1400,87.4400,6.2000,32.7800,-9.4000,-5.3000,-14.1000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,8.0000,6.0000,85.9000,6.3000,31.9600,-8.1000,-4.1000,-12.4000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,9.0000,5.2000,85.9000,6.6000,38.2800,-5.6000,-2.0000,-9.8000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,10.0000,5.2000,87.5400,7.1000,38.2800,-2.7000,0.6000,-6.0000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,11.0000,5.2000,87.0400,7.2000,38.2800,-0.6000,2.5000,-3.2000,-60.7333,-44.7333,12.0000,88968.0000
base_orcadas,ANTARTIDA,Antártida,SAYO,12.0000,4.5400,86.5000,7.3000,41.0800,0.5000,3.0000,-1.7000,-60.7333,-44.7333,12.0000,88968.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,1.0000,8.1000,71.2000,6.3000,40.4400,1.9000,4.5000,-0.5000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,2.0000,8.2600,74.6000,6.5000,40.1600,1.0000,3.5000,-1.3000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,3.0000,8.6200,79.5000,6.4000,41.7400,-0.8000,1.7000,-3.5000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,4.0000,8.6000,79.5000,6.1000,39.8000,-2.9000,-0.5000,-5.5000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,5.0000,7.9400,77.0600,5.9000,35.6200,-4.8000,-2.0000,-7.8000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,6.0000,7.4400,77.3800,5.2000,33.7600,-8.9000,-5.5000,-13.0000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,7.0000,7.8000,77.3800,5.4000,34.5600,-11.5000,-7.3000,-16.1000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,8.0000,7.8600,80.6400,5.8000,34.6600,-11.2000,-6.7000,-16.3000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,9.0000,8.0600,80.6400,6.2000,35.1200,-9.0000,-4.8000,-14.1000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,10.0000,7.9200,82.6600,6.5000,34.4000,-5.3000,-1.6000,-9.6000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,11.0000,7.9200,82.6600,6.3000,34.4000,-1.8000,1.5000,-5.4000,-68.1167,-67.1000,7.0000,89066.0000
base_san_martin,ANTARTIDA,Antártida,SAYS,12.0000,7.3600,73.2000,6.2000,32.8800,0.8000,3.5000,-2.0000,-68.1167,-67.1000,7.0000,89066.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,1.0000,11.9000,77.6000,5.3000,207.1000,22.9000,28.1000,19.0000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,2.0000,11.0000,78.6000,5.2000,189.1000,22.6000,27.6000,18.8000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,3.0000,10.1000,77.9000,4.8000,181.0000,21.7000,26.9000,17.9000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,4.0000,7.7000,77.7000,4.5000,173.9000,19.6000,24.4000,15.9000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,5.0000,8.6000,79.0000,4.7000,196.1000,16.2000,20.6000,12.9000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,6.0000,8.6000,79.8000,4.8000,185.5000,15.2000,19.3000,11.9000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,7.0000,7.8000,74.5000,4.4000,135.2000,14.9000,19.6000,11.2000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,8.0000,6.5000,67.4000,4.0000,106.4000,16.9000,22.1000,12.8000,-26.2667,-53.6667,815.0000,87163.0000
